Experiment,Objective,Condition,N,Mean,Std,SEM,Min,Max,CI_Low,CI_High
Exp 5.5,accuracy,A,10,266.80,45.74,14.46,160.0,332.0,238.45,295.15
Exp 5.5,accuracy,D,10,267.80,58.54,18.51,182.0,366.0,231.52,304.08
Exp 5.5,balance,A,10,297.35,44.21,13.98,229.0,355.5,269.95,324.75
Exp 5.5,balance,D,10,302.20,44.87,14.19,219.0,347.5,274.39,330.01
Exp 5.5,baseline,A,10,30.70,6.73,2.13,20.0,40.0,26.53,34.87
Exp 5.5,baseline,D,10,29.60,4.35,1.38,23.0,36.0,26.90,32.30
Exp 5.5,efficiency,A,10,274.00,39.38,12.45,226.0,356.0,249.59,298.41
Exp 5.5,efficiency,D,10,286.00,48.99,15.49,206.0,376.0,255.64,316.36
Exp 5.5,speed,A,10,474.00,97.55,30.85,320.0,620.0,413.54,534.46
Exp 5.5,speed,D,10,482.00,103.47,32.72,300.0,640.0,417.87,546.13
Exp 8,accuracy,A,30,292.13,41.78,7.63,212.0,362.0,277.18,307.09
Exp 8,accuracy,D,30,280.40,47.95,8.75,192.0,378.0,263.24,297.56
Exp 8,balance,A,30,280.12,60.84,11.11,95.5,387.5,258.34,301.89
Exp 8,balance,D,30,260.97,54.13,9.88,115.5,365.0,241.60,280.34
Exp 8,baseline,A,30,29.90,6.07,1.11,17.0,45.0,27.73,32.07
Exp 8,baseline,D,30,29.50,4.09,0.75,22.0,38.0,28.04,30.96
Exp 8,efficiency,A,30,278.67,47.12,8.60,166.0,356.0,261.81,295.53
Exp 8,efficiency,D,30,274.00,49.99,9.13,166.0,366.0,256.11,291.89
Exp 8,speed,A,30,484.67,97.94,17.88,320.0,640.0,449.62,519.71
Exp 8,speed,D,30,487.33,102.32,18.68,300.0,720.0,450.72,523.95
Exp 9,accuracy,A,24,279.67,39.21,8.00,226.0,386.0,263.98,295.35
Exp 9,accuracy,D,24,266.17,42.42,8.66,190.0,348.0,249.19,283.14
Exp 9,balance,A,24,270.06,52.78,10.77,163.0,394.5,248.95,291.18
Exp 9,balance,D,24,254.62,62.19,12.70,160.0,357.5,229.74,279.51
Exp 9,baseline,A,24,30.50,4.39,0.90,23.0,39.0,28.74,32.26
Exp 9,baseline,D,24,29.88,5.13,1.05,19.0,37.0,27.82,31.93
Exp 9,efficiency,A,24,271.83,42.42,8.66,216.0,356.0,254.86,288.80
Exp 9,efficiency,D,24,281.00,38.79,7.92,216.0,366.0,265.48,296.52
Exp 9,speed,A,24,479.17,117.43,23.97,280.0,760.0,432.18,526.15
Exp 9,speed,D,24,478.33,77.55,15.83,340.0,640.0,447.31,509.36
Exp 5.5.5,accuracy,A,25,273.52,54.07,10.81,180.0,402.0,252.33,294.71
Exp 5.5.5,accuracy,D,25,277.20,56.99,11.40,170.0,378.0,254.86,299.54
Exp 5.5.5,balance,A,25,283.56,46.84,9.37,196.0,383.0,265.20,301.92
Exp 5.5.5,balance,D,25,267.70,65.74,13.15,154.0,417.5,241.93,293.47
Exp 5.5.5,baseline,A,25,29.64,5.46,1.09,17.0,40.0,27.50,31.78
Exp 5.5.5,baseline,D,25,28.96,4.89,0.98,21.0,39.0,27.04,30.88
Exp 5.5.5,efficiency,A,25,240.00,50.25,10.05,146.0,356.0,220.30,259.70
Exp 5.5.5,efficiency,D,25,269.20,49.81,9.96,166.0,356.0,249.67,288.73
Exp 5.5.5,speed,A,25,436.00,66.58,13.32,280.0,560.0,409.90,462.10
Exp 5.5.5,speed,D,25,492.80,59.69,11.94,360.0,600.0,469.40,516.20
